Sample_code,Directed swimming,Crawling,Not moving,Zombie,Attached,Settled,Sum_settled,Alive
HB_EX1_AP,1,2,1,,,5,5,9
HB_EX2_AP,,,2,,1,7,8,10
HB_EX3_AP,,,2,,1,7,8,10
HB_EX4_AP,,,,,,10,10,10
HB_EX5_AP,,,1,,,9,9,10
HB_TI1_AP,,,10,,,,0,10
HB_TI2_AP,2,,8,,,,0,10
HB_TI3_AP,,,3,,,5,5,8
HB_TI4_AP,,,8,,1,1,2,10
HB_TI5_AP,,,,10,,,0,10
PS_EX1_AP,2,,4,,3,1,4,10
PS_EX2_AP,,,1,,2,7,9,10
PS_EX3_AP,,,1,,,9,9,10
PS_EX4_AP,3,1,3,,,3,3,10
PS_EX5_AP,,,8,,2,,2,10
PS_TI1_AP,,3,6,1,,,0,10
PS_TI2_AP,,,2,,,7,7,9
PS_TI3_AP,,,4,,5,1,6,10
PS_TI4_AP,2,,5,,,2,2,9
PS_TI5_AP,,1,5,,4,,4,10
PP_EX1_AP,5,,1,,4,,4,10
PP_EX2_AP,,1,4,,3,2,5,10
PP_EX3_AP,,1,4,,3,3,6,11
PP_EX4_AP,,2,8,,,,0,10
PP_EX5_AP,,,1,,,8,8,9
PP_TI1_AP,,,2,,7,,7,9
PP_TI2_AP,,,,,,,0,0
PP_TI3_AP,,,2,,,7,7,9
PP_TI4_AP,,,5,,2,3,5,10
PP_TI5_AP,,,2,,,8,8,10
WA_EX1_AP,2,,3,,4,1,5,10
WA_EX2_AP,2,,8,,,,0,10
WA_EX3_AP,,1,8,,,,0,9
WA_EX4_AP,2,3,4,,,,0,9
WA_EX5_AP,4,1,3,,,1,1,9
WA_TI1_AP,4,,6,,,1,1,11
WA_TI2_AP,2,1,6,1,,,0,10
WA_TI3_AP,4,1,5,,,,0,10
WA_TI4_AP,5,,1,,,3,3,9
WA_TI5_AP,9,,2,,,,0,11
HB_EX1_DL,1,1,2,1,4,1,5,10
HB_EX2_DL,,1,2,,7,,7,10
HB_EX3_DL,,,9,,1,,1,10
HB_EX4_DL,1,1,3,,3,1,4,9
HB_EX5_DL,4,,2,,4,,4,10
HB_TI1_DL,,3,2,,3,,3,8
HB_TI2_DL,,,1,,7,2,9,10
HB_TI3_DL,2,,,,8,,8,10
HB_TI4_DL,1,,1,,4,3,7,9
HB_TI5_DL,,,2,,7,,7,9
PS_EX1_DL,,1,3,,4,2,6,10
PS_EX2_DL,1,,3,,5,1,6,10
PS_EX3_DL,,,4,,5,,5,9
PS_EX4_DL,1,3,,,5,1,6,10
PS_EX5_DL,,,,,1,8,9,9
PS_TI1_DL,,,,,10,,10,10
PS_TI2_DL,1,,1,,8,,8,10
PS_TI3_DL,1,,2,,7,,7,10
PS_TI4_DL,,,,,2,7,9,9
PS_TI5_DL,,,,,9,,9,9
PP_EX1_DL,,,5,,1,4,5,10
PP_EX2_DL,,,4,,4,1,5,9
PP_EX3_DL,2,,,,8,,8,10
PP_EX4_DL,,3,2,,3,1,4,9
PP_EX5_DL,,,5,,3,,3,8
PP_TI1_DL,1,1,5,,4,,4,11
PP_TI2_DL,,,8,,2,,2,10
PP_TI3_DL,,2,1,,6,,6,9
PP_TI4_DL,,5,2,,3,,3,10
PP_TI5_DL,,,1,,7,,7,8
WA_EX1_DL,,1,3,1,5,,5,10
WA_EX2_DL,3,,2,,3,1,4,9
WA_EX3_DL,1,1,5,,2,,2,9
WA_EX4_DL,2,,,1,5,,5,8
WA_EX5_DL,7,,,,2,,2,9
WA_TI1_DL,2,,8,,,,0,10
WA_TI2_DL,1,,8,,1,,1,10
WA_TI3_DL,,,3,,7,,7,10
WA_TI4_DL,2,,2,,6,,6,10
WA_TI5_DL,,1,1,1,6,,6,9
HB_EX1_MF,5,,,,5,,5,10
HB_EX2_MF,8,,2,,,,0,10
HB_EX3_MF,5,,,1,3,,3,9
HB_EX4_MF,5,,,,4,,4,9
HB_EX5_MF,2,2,,,5,,5,9
HB_TI1_MF,,2,1,,5,,5,8
HB_TI2_MF,,3,,1,6,,6,10
HB_TI3_MF,,5,,,5,,5,10
HB_TI4_MF,,,9,,1,,1,10
HB_TI5_MF,1,3,1,1,4,,4,10
PS_EX1_MF,8,,,,3,,3,11
PS_EX2_MF,7,,,,1,,1,8
PS_EX3_MF,5,1,,,4,,4,10
PS_EX4_MF,7,,,,1,,1,8
PS_EX5_MF,5,,,,4,,4,9
PS_TI1_MF,1,1,1,,7,,7,10
PS_TI2_MF,,,3,,6,,6,9
PS_TI3_MF,,,8,,2,,2,10
PS_TI4_MF,,,,,,,0,0
PS_TI5_MF,,4,,1,4,,4,9
PP_EX1_MF,6,,1,1,,1,1,9
PP_EX2_MF,7,,1,,1,,1,9
PP_EX3_MF,9,,,,,,0,9
PP_EX4_MF,10,,,,,,0,10
PP_EX5_MF,9,,,,,,0,9
PP_TI1_MF,,4,,,5,,5,9
PP_TI2_MF,,,,,,3,3,10
PP_TI3_MF,,,3,,7,,7,10
PP_TI4_MF,,,7,,1,,1,8
PP_TI5_MF,,,10,,,,0,10
WA_EX1_MF,10,,,,,,0,10
WA_EX2_MF,10,,,,,,0,10
WA_EX3_MF,9,1,1,,,,0,11
WA_EX4_MF,6,,3,,,,0,9
WA_EX5_MF,10,,,,,,0,10
WA_TI1_MF,9,,1,,,,0,10
WA_TI2_MF,8,,1,,,,0,9
WA_TI3_MF,6,2,1,,,,0,9
WA_TI4_MF,7,2,,,,,0,9
WA_TI5_MF,10,,,,,,0,10