Replicate,L,W/D,H,Shape
1,50,10,,Cylinder
1,60,20,20,Rectangle; -bottom and end caps
1,20,20,,Cylinder
1,35,5,,Cylinder
1,30,10,,Cylinder
1,95,10,,Cylinder
1,90,10,,Cylinder
1,50,8,,Cylinder
1,75,10,,Cylinder
1,80,8,,Cylinder
2,50,20,55,Triangle
2,65,10,,Cylinder
2,75,8,,Cylinder
2,115,15,,Cylinder
2,175,15,,Cylinder
2,25,8,,Cylinder
3,185,10,,Cylinder
3,100,10,,Cylinder
3,25,20,20,Rectangle
3,35,20,,Cylinder
4,205,5,,Cylinder
4,63,10,,Cylinder
4,35,5,,Cylinder
4,8,5,,Cylinder
4,20,10,,Cylinder
4,40,25,,Cylinder
5,405,10,,Cylinder
5,215,10,,Cylinder
6,85,115,,Cylinder
6,55,10,,Cylinder
6,85,5,,Cylinder
6,35,10,,Cylinder
6,35,8,,Cylinder
6,70,10,,Cylinder
7,310,10,,Cylinder
7,255,10,,Cylinder